,Rank,Name,Classification,Released games,Unreleased games,Total revenue,Avg revenue per game,Med revenue per game,HQ country,% developed in-house,% indie releases,Action,Casual,Adventure,Simulation,Strategy,RPG,MMO,Racing,Sports
30,31,Pocketpair,Indie,5,2,505300000.0,101100000.0,5900000.0,Japan,6%,71%,71%,43%,57%,29%,14%,43%,14%,0%,0%
31,32,Team17 Digital,Indie,91,9,455000000.0,5000000.0,801000.0,United Kingdom,25%,70%,49%,18%,38%,29%,36%,23%,1%,1%,3%
32,33,THQ Nordic,AA,153,6,417900000.0,2700000.0,568000.0,Austria,15%,10%,47%,3%,28%,21%,31%,34%,0%,10%,9%
33,34,Tripwire Interactive,AA,21,1,405500000.0,19300000.0,5500000.0,United States,10%,27%,86%,9%,27%,18%,36%,14%,18%,5%,0%
34,35,"KOEI TECMO GAMES CO., LTD.",AAA,132,0,385500000.0,2900000.0,584000.0,United States,131%,0%,30%,3%,13%,20%,32%,33%,2%,5%,5%
35,36,TaleWorlds Entertainment,AA,4,0,383800000.0,96000000.0,46300000.0,Turkey,4%,50%,75%,0%,0%,25%,25%,100%,0%,0%,0%
36,37,505 GAMES,AA,57,3,362600000.0,6400000.0,1400000.0,Italy,1%,40%,63%,10%,63%,28%,27%,35%,0%,5%,10%
37,38,Frontier Developments,AA,13,0,360900000.0,27800000.0,10600000.0,United Kingdom,13%,0%,31%,15%,31%,77%,77%,15%,15%,0%,0%
38,39,Facepunch Studios,AA,5,1,338100000.0,67600000.0,169000000.0,United Kingdom,6%,67%,67%,33%,17%,33%,50%,17%,17%,0%,17%
39,40,WB Games,AA,9,0,325800000.0,36200000.0,40800000.0,United States,0%,0%,100%,0%,78%,0%,0%,22%,0%,0%,0%
40,41,Codemasters,AA,35,0,316300000.0,9000000.0,1500000.0,United Kingdom,14%,0%,20%,6%,9%,43%,6%,11%,0%,71%,60%
41,42,Rebellion,AA,42,1,306900000.0,7300000.0,480000.0,United Kingdom,23%,5%,72%,2%,30%,5%,33%,5%,0%,0%,7%
42,43,Behaviour Interactive,Indie,9,1,295100000.0,32799999.999999996,1700000.0,Canada,6%,10%,60%,20%,30%,0%,20%,0%,10%,0%,0%
43,44,Klei Entertainment,AA,12,1,269700000.0,22500000.0,3900000.0,Canada,12%,85%,69%,8%,46%,31%,23%,31%,0%,8%,0%
44,45,Amazon Games,AAA,4,2,264700000.0,66200000.0,263800000.0,United States,1%,0%,100%,0%,67%,0%,0%,67%,67%,0%,0%
45,46,KONAMI,AA,46,5,245000000.0,5300000.0,557000.0,Japan,29%,10%,78%,12%,35%,16%,8%,14%,2%,2%,10%
46,47,VOID Interactive,Indie,1,0,244800000.0,244800000.0,244800000.0,Ireland,1%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%
47,48,Supergiant Games,AA,5,0,244300000.0,48900000.0,28500000.0,United States,5%,100%,100%,0%,0%,0%,0%,100%,0%,0%,0%
48,49,Activision (Excluding Japan and Asia),AAA,1,0,243500000.0,243500000.0,243500000.0,United States,0%,0%,100%,0%,100%,0%,0%,0%,0%,0%,0%
49,50,方块游戏 (Asia),AA,1,0,243500000.0,243500000.0,243500000.0,China,0%,0%,100%,0%,100%,0%,0%,0%,0%,0%,0%
50,51,"FromSoftware, Inc. (Japan)",Indie,1,0,243500000.0,243500000.0,243500000.0,Japan,0%,0%,100%,0%,100%,0%,0%,0%,0%,0%,0%
51,52,Axolot Games,AA,2,0,243500000.0,121700000.0,121700000.0,Sweden,1%,100%,50%,0%,100%,100%,0%,0%,0%,0%,0%
52,53,Offworld,Indie,4,0,242800000.0,60700000.0,15100000.0,United States,3%,100%,100%,0%,0%,25%,75%,0%,75%,0%,0%
